"wid","iss","ivin","avg_sask1","date"
"048427","元富",0.566387176513672,70.2142857142857,"20200304"
"050253","國泰",0.580226898193359,70.1,"20200304"
"050463","元大",0.62133086355109,70.2894736842105,"20200304"
"052953","國票",0.557422637939453,70.1,"20200304"
"053250","國票",0.546367645263672,70.1,"20200304"
"053792","元大",0.554968516031901,70.2333333333333,"20200304"
"054067","國票",0.50449614091353,70.1363636363636,"20200304"
"054102","國票",0.484035491943359,70.1,"20200304"
"054877","群益",0.509368896484375,70.3,"20200304"
"056091","統一",0.555235448873268,70.2383647798742,"20200304"
"058113","元富",0.510708593553112,70.1129032258064,"20200304"
"058148","元大",0.615150451660156,70.3,"20200304"
"058149","元大",0.66571044921875,70.3,"20200304"
"058208","凱基",0.517623138427734,70.26,"20200304"
"058251","元大",0.54207350078382,70.2894736842105,"20200304"
"706745","凱基",0.713273366292318,69.2,"20200304"
"706756","元富",0.709430694580078,69.2,"20200304"
"706757","元富",0.741150856018066,69.209375,"20200304"
"706799","元大",0.718854170579177,69.2,"20200304"
"706880","元大",0.710275377546038,69.2,"20200304"
"707349","元大",0.682923634847005,69.2,"20200304"
"707812","元富",0.714855194091797,69.2,"20200304"
"708073","群益",0.649160385131836,69.2,"20200304"
"708297","國票",0.617183685302734,69.2,"20200304"
"708663","凱基",0.653357696533203,69.2,"20200304"
"709151","永豐",0.703693389892578,69.2,"20200304"
