"wid","iv","sbid1","iss","date"
"709615",0.681308746337891,86.5,"凱基","20200306"
"708316",0.680660247802734,86.5,"凱基","20200306"
"709447",0.711574554443359,86.5,"元大","20200306"
"709279",0.764881134033203,86.5,"元大","20200306"
"709416",0.667858123779297,86.5,"永豐","20200306"
"709337",0.702686309814453,86.5,"永豐","20200306"
"709279",0.775714874267578,86.5,"元大","20200306"
"709058",0.773632049560547,86.5,"元大","20200306"
"709447",0.718410491943359,86.5,"元大","20200306"
"709447",0.709835052490234,86.6,"元大","20200306"
"709058",0.771076202392578,86.6,"元大","20200306"
"709279",0.762699127197266,86.6,"元大","20200306"
"709337",0.700450897216797,86.6,"永豐","20200306"
"709416",0.666515350341797,86.6,"永豐","20200306"
"709447",0.716663360595703,86.6,"元大","20200306"
"709279",0.773517608642578,86.6,"元大","20200306"
"709058",0.771076202392578,86.6,"元大","20200306"
"709279",0.762699127197266,86.6,"元大","20200306"
"709447",0.709835052490234,86.6,"元大","20200306"
"709279",0.773517608642578,86.6,"元大","20200306"
"709337",0.700450897216797,86.6,"永豐","20200306"
"709416",0.666515350341797,86.6,"永豐","20200306"
"709447",0.716663360595703,86.6,"元大","20200306"
"709279",0.762699127197266,86.6,"元大","20200306"
"709447",0.709835052490234,86.6,"元大","20200306"
"709279",0.773517608642578,86.6,"元大","20200306"
"709447",0.716663360595703,86.6,"元大","20200306"
"709058",0.771076202392578,86.6,"元大","20200306"
"709416",0.661144256591797,87,"永豐","20200306"
"709337",0.691532135009766,87,"永豐","20200306"
"709615",0.671176910400391,87,"凱基","20200306"
"709447",0.709758758544922,86.8,"元大","20200306"
"709615",0.669910430908203,86.8,"凱基","20200306"
"709058",0.760746002197266,86.8,"元大","20200306"
"709416",0.660472869873047,86.8,"永豐","20200306"
"709058",0.765964508056641,86.8,"元大","20200306"
"709279",0.765529632568359,86.8,"元大","20200306"
"709279",0.761928558349609,86.8,"元大","20200306"
"709447",0.711414337158203,86.9,"元大","20200306"
"709058",0.760746002197266,86.8,"元大","20200306"
"709447",0.709758758544922,86.8,"元大","20200306"
"709279",0.761928558349609,86.8,"元大","20200306"
"709447",0.711414337158203,86.9,"元大","20200306"
"709279",0.763339996337891,86.9,"元大","20200306"
"709058",0.763408660888672,86.9,"元大","20200306"
"708922",0.663105010986328,86.9,"群益","20200306"
"709416",0.659778594970703,86.6,"永豐","20200306"
"707533",0.693737030029297,86.6,"國票","20200306"
"708316",0.674694061279297,86.6,"凱基","20200306"
"707533",0.690364837646484,86.6,"國票","20200306"
"709337",0.694171905517578,86.6,"永豐","20200306"
"709416",0.663150787353516,86.6,"永豐","20200306"
"707984",0.635036468505859,86.6,"國泰","20200306"
"709416",0.659778594970703,86.6,"永豐","20200306"
"709210",0.702358245849609,86.6,"群益","20200306"
"709615",0.667896270751953,86.9,"凱基","20200306"
"709120",0.508121490478516,58.1,"凱基","20200306"
"707972",0.724918365478516,57.7,"中信","20200306"
